Average        CO2
 depth   Gas  concentration
 (m)   (yr AD) (ppmv)
187.70  1744  276.8
177.50  1764  276.7
168.30  1791  279.7
154.89  1816  283.8
142.75  1839  283.1
140.75  1843  287.4
138.20  1847  286.8
134.47  1854  288.2
126.80  1869  289.3
123.80  1874  289.5
121.80  1878  290.3
116.82  1887  292.3
110.20  1899  295.8
108.80  1903  294.8
107.20  1905  296.9
105.25  1909  299.2
101.80  1915  300.5
 98.80  1921  301.6
 95.17  1927  305.5
 90.77  1935  306.6
 86.80  1943  307.9
 81.22  1953  312.7

Data in the first table were published in Neftel et al. (1985); data in the second
table were published by Friedli et al. (1986).

CO2 concentrations are expressed in parts per million by volume.
